,timestamp,actions_heatpump_operation_modus,actions_heatpump_compression_states,actions_heatpump_temp_setpoint,actions_heatpump_flow_setpoint,actions_battery_system_status,actions_battery_real_power,actions_battery_reactive_power,actions_battery_reason,actions_chargingstation_totalpower,actions_reset_heatpump_timer,actions_distr_heat_temp_sp,costs_discounted_cost_calculated,costs_pv,costs_battery,costs_base_cs,costs_grid_cs,costs_cs_cost_calculated,costs_base_el,costs_grid_el,costs_grid_only_solar,costs_el_cost_calculated,costs_savings_calculated,costs_el_savings,costs_cs_savings,costs_el_savings_wout_battery,costs_heat_cost_calculated,battery_state_of_charge,battery_battery_status,battery_battery_operating_status,battery_system_status,battery_power,pv_1_power,electricity_demand_total_load,electricity_demand_heatpump_load,price_price
2023-01-02 10:30:00,1672655400.0,off,{1: 1},55.0,2.0,operating,20556.729030985498,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.5218030186167488,0.0,0.4496784475528078,True,True,0.28660808934456083,-0.10971010152863336,-0.037585530464692374,False,88.95291380276515,operating,discharging,operating,19912.40031756678,3297.123248637309,23853.852279622806,0.0,7.01e-05
2023-01-02 10:45:00,1672656300.0,off,{1: 1},55.0,2.0,operating,21212.44019270617,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.5356670921105361,0.0,0.46402212921544755,True,True,0.3004721628383481,-0.10971010152863336,-0.03806513863354477,False,86.72931469505211,operating,discharging,operating,20556.729030985498,3275.1983037754785,24487.63849648165,0.0,7.01e-05
2023-01-02 11:00:00,1672657200.0,off,{1: 1},55.0,2.0,operating,19634.739273257637,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.554739769437259,0.0,0.42950992160251084,True,True,0.319544840165071,-0.10971010152863336,0.015519746306114857,False,84.43478802138625,operating,discharging,operating,21212.44019270617,5724.7930438742005,25359.532317131838,0.0,6.63e-05
2023-01-02 11:15:00,1672658100.0,off,{1: 1},55.0,2.0,operating,20407.227669342923,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.5707818052372734,0.0,0.4464081052668764,True,True,0.3355868759650854,-0.10971010152863336,0.014663598441763681,False,82.31091954686461,operating,discharging,operating,19634.739273257637,5685.654855789571,26092.882525132496,0.0,6.63e-05
2023-01-02 11:30:00,1672659000.0,off,{1: 1},55.0,2.0,operating,20999.53921251932,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.583064567160261,0.0,0.45936492027386006,True,True,0.347869637888073,-0.10971010152863336,0.013989545357767641,False,80.10349183946771,operating,discharging,operating,20407.227669342923,5654.841000521185,26654.380213040506,0.0,6.63e-05
2023-01-02 11:45:00,1672659900.0,off,{1: 1},55.0,2.0,operating,21472.485503041782,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.5928564258540754,0.0,0.4697106203790389,True,True,0.3576614965818874,-0.10971010152863336,0.013435703946403144,False,77.8319944341675,operating,discharging,operating,20999.53921251932,5629.522536001668,27102.00803904345,0.0,6.63e-05
2023-01-02 12:00:00,1672660800.0,off,{1: 1},55.0,2.0,operating,21855.55307537387,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6044472254951679,0.0,0.4780902235238035,True,True,0.36925229622297995,-0.10971010152863336,0.016646900442731094,False,75.50933894102089,operating,discharging,operating,21472.485503041782,5776.32009011952,27631.87316549339,0.0,6.45e-05
2023-01-02 12:15:00,1672661700.0,off,{1: 1},55.0,2.0,operating,22397.88714043142,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6158626070136437,0.0,0.4899537811969373,True,True,0.3806676777414557,-0.10971010152863336,0.016198724288073008,False,73.14524744359814,operating,discharging,operating,21855.55307537387,5755.832037335147,28153.71917776657,0.0,6.45e-05
2023-01-02 12:30:00,1672662600.0,off,{1: 1},55.0,2.0,operating,22689.55684797775,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6218309995221669,0.0,0.4963340560495133,True,True,0.3866360702499789,-0.10971010152863336,0.015786841944020247,False,70.72249225793361,operating,discharging,operating,22397.88714043142,5737.003130178451,28426.5599781562,0.0,6.45e-05
2023-01-02 12:45:00,1672663500.0,off,{1: 1},55.0,2.0,operating,22851.26883966116,-0.0,load coverage,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6249801631592676,0.0,0.49987150586758783,True,True,0.38978523388707964,-0.10971010152863336,0.015398555763046384,False,68.26818747600456,operating,discharging,operating,22689.55684797775,5719.252904762504,28570.521744423662,0.0,6.45e-05
